"ip","vt_last10_dns_resolutions","vt_url","vt_asn","ipvoid_location","ipvoid_asn_owner","cymon_url","cymon_record_created","vt_count_samples_malicious_communicated_with","ipvoid_url","ipvoid_reverse_dns","vt_count_malicious_urls_hosted_by","vt_count_samples_undetected_communicated_with","cymon_last_updated","ipvoid_asn","vt_count_samples_malicious_embed_this_address","vt_count_samples_undetected_downloaded_from","vt_location","ipvoid_last_time_analysed","vt_count_samples_undetected_embed_this_address","cymon_blacklists____001","cymon_blacklists____002","cymon_blacklists____003","cymon_blacklists____004","cymon_blacklists____005","cymon_blacklists____006","cymon_blacklists____007","cymon_blacklists____008","cymon_blacklists____009","cymon_blacklists____010","cymon_blacklists____011","cymon_blacklists____012","cymon_blacklists____013","cymon_blacklists____014","cymon_blacklists","ipvoid_blacklists","vt_count_samples_malicious_downloaded_from","vt_asn_owner"
"188.72.198.195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94.23.76.187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199.204.74.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199.204.74.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199.204.74.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65.75.156.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91.204.209.209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"188.165.207.158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"178.162.157.236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46.166.169.188","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65.75.138.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"178.162.167.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"178.162.167.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78.159.102.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65.75.158.111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"173.255.142.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"178.162.174.134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79.96.66.209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76.8.62.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"193.169.245.100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"193.169.245.103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"193.169.245.104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"193.169.245.105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"193.169.245.106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"193.169.245.107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"213.5.176.152","","","","","","https://cymon.io/213.5.176.152","2015-09-22T15:43:22Z","","","","","","2015-09-22T15:43:27Z","","","","","","","virustotal.com","urlquery.net","","","","","","","","","","","","","","","",""
"109.236.82.61","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"124.198.81.98","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"198.50.194.52","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"37.157.255.54","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"37.157.255.51","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"37.157.255.53","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"37.157.255.59","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"67.196.50.158","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"67.196.50.151","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"67.196.50.153","","","","","","https://cymon.io/109.236.82.61","2016-03-18T03:44:14Z","","","","","","2016-04-25T14:21:43Z","","","","","","","ibm x-force exchange","spam.spamrats.com","dnsbl.httpbl.org","","","","","","","","","","","","","","",""
"67.196.50.152","","","","","","https://cymon.io/67.196.50.152","2016-09-30T19:56:03Z","","","","","","2016-09-30T19:56:03Z","","","","","","","urlquery.net","","","","","","","","","","","","","","","","",""
"67.196.50.155","","","","","","https://cymon.io/67.196.50.152","2016-09-30T19:56:03Z","","","","","","2016-09-30T19:56:03Z","","","","","","","urlquery.net","","","","","","","","","","","","","","","","",""
"67.196.50.154","","","","","","https://cymon.io/67.196.50.152","2016-09-30T19:56:03Z","","","","","","2016-09-30T19:56:03Z","","","","","","","urlquery.net","","","","","","","","","","","","","","","","",""
"67.196.50.157","","","","","","https://cymon.io/67.196.50.157","2016-10-01T13:46:52Z","","","","","","2016-10-01T14:13:09Z","","","","","","","noptr.spamrats.com","virustotal.com","urlquery.net","","","","","","","","","","","","","","",""
"178.162.167.47","","","","","","https://cymon.io/67.196.50.157","2016-10-01T13:46:52Z","","","","","","2016-10-01T14:13:09Z","","","","","","","noptr.spamrats.com","virustotal.com","urlquery.net","","","","","","","","","","","","","","",""
"193.169.245.99","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"88.80.196.104","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"173.236.58.74","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"178.162.134.182","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"37.59.136.60","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"178.162.157.238","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"188.247.232.178","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"188.247.232.179","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"69.64.40.48","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"188.247.232.176","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"188.247.232.177","","","","","","https://cymon.io/193.169.245.99","2015-07-23T10:57:21Z","","","","","","2015-07-23T10:57:21Z","","","","","","","","","","","","","","","","","","","","","","","",""
"109.236.82.48","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"109.236.82.49","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"109.236.82.46","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"95.168.187.178","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"95.168.187.175","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"95.168.187.173","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"95.168.187.171","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"95.168.187.170","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"64.187.232.198","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"178.32.189.100","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"178.32.189.104","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"204.188.235.250","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"199.204.72.173","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"89.149.226.216","","","","","","https://cymon.io/109.236.82.48","2015-09-15T21:49:35Z","","","","","","2015-09-15T21:55:46Z","","","","","","","ibm x-force exchange","spam.spamrats.com","spamrbl.imp.ch","sbl.spamhaus.org","zen.spamhaus.org","","","","","","","","","","","","",""
"176.31.240.31","","","","","","https://cymon.io/176.31.240.31","2015-09-05T11:14:58Z","","","","","","2015-09-18T09:49:41Z","","","","","","","alienvault reputation","","","","","","","","","","","","","","","","",""
